INDEX;Typologie_zone;Type_voie;Nombre_voies;Distance_capteur_voie;Position_capteurs;Presence_arbres;Feuille_arbres;Morphologie_urbaine;Hauteur_batiments;Distance_capteur_batiment;Particularite;Trafic_Routier_vehicule_leger;Trafic_Routier_poids_lourds;Trafic_Routier_2_roues;emission_moyenne_annuelle_kg_maille_an;Donnees_Cartographie
c48;zones residentielles;Intersection en T ;Rue moyenne a 2 voies de circulation;inf a 1 m;Parking 4 roues ;Range arbres;NON en hiver ;Batiments de deux cotes;R+3;sup a  4 m;Feu;800;0;0;2112;21.7000007629395
c49;zones residentielles;Intersection en T ;Rue moyenne a 2 voies de circulation;inf a 1 m;Parking 4 roues ;Range arbres;Oui en hiver;Batiments de deux cotes;R+3;sup a  4 m; parking;800;0;0;2112;22.6000003814697
c50;centre ville;Rue droite;Boulevard a 3 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues et Arbre;Range arbres;NON en hiver ;Batiments de deux cotes;R+1;1 a 2 m ;arret bus;31 424;495;511;2270;47.4000015258789
c51;centre ville;Rue droite;Boulevard a 3 voies de circulation et circulation bus;1 a 2 m ;Arbre;Range arbres;Oui en hiver;Batiments de deux cotes;R+2;1 m ;pas de particuarite;31 424;495;511;2270;30.7999992370605
c52;zones residentielles;Rue droite;Rue moyenne a 2 voies de circulation;inf a 1 m;Parking 4 roues ;NON;NON;Batiments de deux cotes;R+3;sup a  4 m;Hopital;800;0;0;2565;16.3999996185303
c53;zones residentielles;Rond point;Rond point;inf a 1 m;Parking 4 roues et Arbre;Range arbres;NON en hiver ;Pas de batiments;NON;NON;Hopital;800;0;0;2565;16
c54;zones residentielles;Rue en pente ;Rue moyenne a 2 voies de circulation;1 a 2 m ;Parking 4 roues et Arbre;Range arbres;Oui en hiver ;Batiments de un seul cote;R+3;sup a  4 m;Etablissement enseignement ;800;0;0;2991;22.2999992370605
c55;zones residentielles;Rue en pente ;Rue tres etroite;inf a 1 m;Parking 2 roues et Arbre;NON;NON;Batiments de un seul cote;R+3;sup a  4 m;pas de particuarite;800;0;0;3242;27.7999992370605
c56;zones residentielles;Rue droite;Rue  a 1 voie;inf a 1 m;Parking 4 roues et Arbre;Range arbres;Oui en hiver ;Batiments de deux cotes;R+3;1 m;Etablissement enseignement ;800;0;0;2270;17
c57;zones residentielles;Rue droite;Rue  a 1 voie;inf a 1 m;Parking 4 roues et Arbre;Range arbres;Oui en hiver ;Batiments de deux cotes;R+3;1 m;Etablissement enseignement ;800;0;0;2270;19.7000007629395
c58;zones residentielles;Intersection en T ;Rue moyenne a 2 voies de circulation;inf a 1 m;Mur;NON;NON;Batiments de deux cotes;R+1;1 a 2 m ;Feu;4337;59;70;2270;19.8999996185303
c59;zones residentielles;Rue droite;Rue moyenne a 2 voies de circulation;inf a 1 m;Parking 4 roues et Arbre;Range arbres;Oui en hiver ;Batiments de deux cotes;R+1;1 a 2 m ;pas de particuarite;4337;59;70;2270;20.7000007629395
c60;Quartiers Peripheriques ;Rue droite;Rue moyenne a 2 voies de circulation;1 a 2 m ;Parking 4 roues ;NON;NON;Pas de batiments;NON;NON;Complexe sportif;800;0;0;2036;17
c61;Quartiers Peripheriques ;Rue droite;Rue moyenne a 2 voies de circulation;1 a 2 m ;Parking 4 roues ;NON;NON;Pas de batiments;NON;NON;Complexe sportif;800;0;0;2182;16.1000003814697
c62;zones residentielles;Intersection en T ;Rue  a 1 voie;inf a 1 m;Arbre;Range arbres;NON en hiver ;Batiments de deux cotes;R+3;2 a 4 m;Feu;800;0;0;2991;20.6000003814697
c63;zones residentielles;Intersection en T ;Rue tres etroite;inf a 1 m;Parking 4 roues ;Range arbres;Oui en hiver ;Batiments de deux cotes;R+2;1 m;pas de particuarite;800;0;0;2270;20.2999992370605
c64;Quartiers Peripheriques ;Rue en pente ;Rue moyenne a 2 voies de circulation;1 a 2 m ;Arbre;Range arbres;Oui en hiver ;Batiments de un seul cote;R+3;sup a  4 m;Parc ;800;0;0;1885;27.7000007629395
c65;zones residentielles;Rond point;Rond point;1 m;Parking 4 roues ;Range arbres;NON en hiver ;Pas de batiments;NON;NON;pas de particuarite;800;0;0;3242;24
c66;zones residentielles;Rue droite;Boulevard a 3 voies de circulation et circulation bus;1 m;Parking 4 roues ;Range arbres;NON en hiver ;Batiments de deux cotes;R+3;1 m;pas de particuarite;24627;226;398;2991;33.4000015258789
c67;zones residentielles;intersection en Rond point;Rue moyenne a 2 voies de circulation;1 m;Parking 4 roues et Arbre et Mur;Range arbres;Oui en hiver ;Batiments de deux cotes;R+3;sup a  4 m;pas de particuarite;2921;432;54;2991;24.8999996185303
